date,open,high,low,close
1384605900,5107,5108.23,4961.69,4993.67
1384606200,4993.67,5000,4701,4710
1384606500,4735.92,5199,4711.8,5000
1384606800,5003,5039.92,4899.79,4950
1384607100,4950,4980.62,4801,4919.99
1384607400,4862.08,4900,4802,4859.97
1384607700,4858.86,4859.94,4807,4820
1384608000,4826.92,4950,4814.2,4915
1384608300,4940,4980.62,4922,4930.03
1384608600,4928.7,4935,4844.2,4844.2
1384608900,4844.2,4845.03,4760,4801
1384609200,4801,4819.96,4702.53,4702.53
1384609500,4702.53,4725,4552.13,4600
1384609800,4630.03,4828.87,4600,4750
1384610100,4765.31,4779.97,4710.01,4730.01
1384610400,4730,4730.02,4710.01,4729.99
1384610700,4719.97,4779.03,4718,4756
1384611000,4760,4779.95,4750,4766
1384611300,4755,4765,4700,4700
1384611600,4700,4710,4615.01,4630
1384611900,4638.38,4748.99,4622.11,4721
1384612200,4721.03,4750,4700,4750
1384612500,4740,4850.1,4725,4830
1384612800,4830,4896.99,4806,4879
1384613100,4868.41,4948.78,4857,4915.77
1384613400,4915.8,4997.97,4900,4997.97
1384613700,4997.97,5098.99,4962.03,5051
1384614000,5035.54,5270,5035.54,5237.03
1384614300,5237.13,5350,5237,5330
1384614600,5330,5355,5050,5070
1384614900,5070,5100,4908,4949.99
1384615200,4908,5000,4850.53,4965
1384615500,4965,5188.01,4900,5101
1384615800,5188.01,5188.01,5012,5050
1384616100,5018.39,5098.99,5001.1,5040
1384616400,5012.53,5048,5001.01,5019
1384616700,5009,5120,5001.01,5078.1
1384617000,5080,5093,5003,5035
1384617300,5035.03,5038,4999,4999
1384617600,4990,5000,4902.01,4980
1384617900,5000,5040,4950.53,5020
1384618200,5005.01,5019.97,4980.11,4999
1384618500,4983.13,4996.97,4980,4980.15
1384618800,4980.18,4983.04,4905,4930
1384619100,4930,4947.1,4910,4933.81
1384619400,4932.1,4935,4890.84,4899.97
1384619700,4890.84,4900.1,4855,4860
1384620000,4860,4940,4836,4940
1384620300,4940,4979.99,4890,4959.94
1384620600,4953.24,4954.03,4888,4888
1384620900,4888,4892.56,4812,4850
1384621200,4850,4925,4803.5,4910
1384621500,4896.6,4928,4858,4858
1384621800,4858.01,4880,4600,4680
1384622100,4698.88,4749,4588,4658
1384622400,4658,4748.88,4611,4746.99
1384622700,4746.99,4800,4611.01,4718.97
1384623000,4700.01,4700.01,4600,4631
1384623300,4631.03,4640,4551,4600
1384623600,4600,4658,4510,4551.16
1384623900,4530.01,4551.17,4420.03,4420.03
1384624200,4420.04,4496,4300,4319.99
1384624500,4340,4340,4210.11,4240
1384624800,4300,4545,4240,4510
1384625100,4540,4540,4400,4450
1384625400,4450,4450,4200,4200
1384625700,4200,4400,4180.01,4201
1384626000,4201,4300,4201,4250
1384626300,4250,4328,4232.87,4328
1384626600,4300,4428,4300,4350
1384626900,4390,4517,4351,4490
1384627200,4477,4540,4400,4500
1384627500,4500,4500,4301.01,4350
1384627800,4320.03,4418.9,4311.55,4400
1384628100,4400,4438.88,4400,4405
1384628400,4413.87,4413.88,4351,4390.41
1384628700,4390.41,4440.01,4380,4440
1384629000,4440.01,4588.88,4440,4588.88
1384629300,4550,4599.6,4513,4590.53
1384629600,4590.53,4600,4503.06,4564
1384629900,4554.5,4575,4502,4548
1384630200,4548,4548,4500,4500
1384630500,4502.86,4539,4490.01,4500.1
1384630800,4502.87,4534,4500.3,4500.3
1384631100,4509,4509.89,4480,4490
1384631400,4490,4497,4451,4460
1384631700,4460,4461,4428,4429.93
1384632000,4439.93,4450.01,4427.1,4445
1384632300,4445,4450.01,4420.01,4429.87
1384632600,4429.86,4430,4315,4315
1384632900,4349.97,4349.99,4220,4280.03
1384633200,4280.03,4475,4249.97,4429
1384633500,4429,4429,4295.98,4350.46
1384633800,4350.46,4376,4260.1,4299.94
1384634100,4299.91,4309.99,4262,4276.03
1384634400,4277.44,4429,4272,4400
1384634700,4405,4429,4350,4380
1384635000,4376.23,4384,4304,4350.97
1384635300,4350.23,4350.23,4303.57,4317
1384635600,4336.94,4350,4306,4335.97
1384635900,4335.97,4400,4335.97,4391.96
1384636200,4391.95,4393.25,4370,4381.5
1384636500,4381.5,4391,4332,4385
1384636800,4370,4385,4366,4366
1384637100,4374.91,4374.97,4350,4350.03
1384637400,4352,4363,4322,4350
1384637700,4350,4362,4320,4350
1384638000,4359.93,4363,4350.06,4352.31
1384638300,4353,4357.82,4331,4340
1384638600,4340.03,4350,4335,4342
1384638900,4342.06,4359,4340,4342
1384639200,4342,4356.98,4321,4321
1384639500,4322,4340.89,4320,4340.89
1384639800,4340.89,4341.09,4321.15,4335
1384640100,4332.96,4340,4320,4323
1384640400,4322.89,4322.89,4278.96,4279
1384640700,4279,4280,4250,4250
1384641000,4260.03,4279.99,4220,4242
1384641300,4242,4242,4200.1,4217.21
1384641600,4211.62,4235,4111.53,4111.53
1384641900,4145.03,4160,4051.53,4160
1384642200,4151.25,4200,4100,4120
1384642500,4106.03,4200,4101,4180
1384642800,4180.47,4186.75,4100,4154.85
1384643100,4154,4220,4100.11,4101
1384643400,4155,4198,4100.2,4138.97
1384643700,4135.9,4140,4075,4075
1384644000,4090.25,4100,4011.53,4012
1384644300,4012,4030,3811.53,3819
1384644600,3820.03,3897.99,3675,3675.03
1384644900,3678.06,3678.75,3493.08,3500
1384645200,3510,4100,3450,3900
1384645500,3975.9,4000,3688,3688
1384645800,3688,3729.65,3550,3550
1384646100,3550,3699,3500,3698
1384646400,3673.48,3699.99,3510,3658
1384646700,3659.35,3680,3600,3650.03
1384647000,3653.65,3700,3650,3660
1384647300,3665,3682.27,3652,3678
1384647600,3678,3890,3660.2,3800
1384647900,3788.03,3850,3788,3811
1384648200,3819,3888,3811,3886
